name,rank,location
Massachusetts_Institute_of_Technology,1,"Cambridge, MA"
Stanford_University,1,"Stanford, CA"
California_Institute_of_Technology,3,"Pasadena, CA"
Harvard_University,3,"Cambridge, MA"
Princeton_University,3,"Princeton, NJ"
None,None,
University_of_California_Berkeley,3,"Berkeley, CA"
Cornell_University,7,"Ithaca, NY"
University_of_Chicago,7,"Chicago, IL"
University_of_Illinois_Urbana_Champaign,9,"Urbana, IL"
Columbia_University,10,"New York, NY"
University_of_California_Santa_Barbara,10,"Santa Barbara, CA"
Yale_University,12,"New Haven, CT"
None,None,
University_of_Michigan_Ann_Arbor,13,"Ann Arbor, MI"
University_of_Colorado_Boulder,14,"Boulder, CO"
University_of_Maryland_College_Park,14,"College Park, MD"
University_of_Pennsylvania,14,"Philadelphia, PA"
Johns_Hopkins_University,17,"Baltimore, MD"
University_of_California_Los_Angeles,17,"Los Angeles, CA"
University_of_California_San_Diego,17,"La Jolla, CA"
None,None,
University_of_Texas_Austin,17,"Austin, TX"
University_of_Wisconsin_Madison,None,"Madison, WI"
University_of_Washington,None,"Seattle, WA"
Ohio_State_University,None,"Columbus, OH"
Stony_Brook_University_SUNY,None,"Stony Brook, NY"
Northwestern_University,None,"Evanston, IL"
Pennsylvania_State_University_University_Park,None,"University Park, PA"
None,None,
University_of_Minnesota_Twin_Cities,None,"Minneapolis , MN"
Duke_University,None,"Durham, NC"
Georgia_Institute_of_Technology,None,"Atlanta, GA"
Michigan_State_University,None,"East Lansing, MI"
Rice_University,None,"Houston, TX"
Rutgers_The_State_University_of_New_Jersey_New_Brunswick,None,"Piscataway, NJ"
University_of_California_Davis,None,"Davis, CA"
None,None,
University_of_California_Irvine,None,"Irvine, CA"
Brown_University,None,"Providence, RI"
Carnegie_Mellon_University,None,"Pittsburgh, PA"
Boston_University,None,"Boston, MA"
Indiana_University_Bloomington,None,"Bloomington, IN"
New_York_University,None,"New York, NY"
Purdue_University_West_Lafayette,None,"West Lafayette, IN"
None,None,
University_of_Arizona,None,"Tucson, AZ"
University_of_California_Santa_Cruz,None,"Santa Cruz, CA"
University_of_Florida,None,"Gainesville, FL"
Arizona_State_University,None,"Tempe, AZ"
University_of_Rochester,None,"Rochester, NY"
University_of_Virginia,None,"Charlottesville, VA"
Florida_State_University,None,"Tallahassee, FL"
None,None,
Texas_A&M_University_College_Station,None,"College Station, TX"
University_of_North_Carolina_Chapel_Hill,None,"Chapel Hill, NC"
University_of_Pittsburgh,None,"Pittsburgh, PA"
Washington_University_in_St._Louis,None,"St. Louis, MO"
Iowa_State_University,None,"Ames, IA"
North_Carolina_State_University,None,"Raleigh, NC"
University_of_Notre_Dame,None,"Notre Dame, IN"
None,None,
Vanderbilt_University,None,"Nashville, TN"
Northeastern_University,None,"Boston, MA"
Rensselaer_Polytechnic_Institute,None,"Troy, NY"
University_of_California_Riverside,None,"Riverside, CA"
University_of_Massachusetts_Amherst,None,"Worcester, MA"
University_of_Oregon,None,"Eugene, OR"
Brandeis_University,None,"Waltham, MA"
None,None,
Case_Western_Reserve_University,None,"Cleveland, OH"
Dartmouth_College,None,"Hanover, NH"
University_of_Central_Florida,None,"Orlando, FL"
University_of_Iowa,None,"Iowa City, IA"
University_of_Southern_California,None,"Los Angeles, CA"
University_of_Utah,None,"Salt Lake City, UT"
Virginia_Tech,None,"Blacksburg, VA"
None,None,
Rochester_Institute_of_Technology,None,"Rochester, NY"
Syracuse_University,None,"Syracuse, NY"
Boston_College,None,"Chestnut Hill, MA"
Colorado_School_of_Mines,None,"Golden, CO"
Colorado_State_University,None,"Fort Collins, CO"
CUNY_Graduate_School_and_University_Center,None,"New York, NY"
Emory_University,None,"Atlanta, GA"
None,None,
Louisiana_State_University_Baton_Rouge,None,"Baton Rouge, LA"
University_of_Connecticut,None,"Storrs, CT"
University_of_Delaware,None,"Newark, DE"
University_of_Hawaii_Manoa,None,"Honolulu, HI"
University_of_Illinois_Chicago,None,"Chicago, IL"
University_of_Nebraska_Lincoln,None,"Lincoln, NE"
William_&_Mary,None,"Williamsburg, VA"
None,None,
Georgetown_University,None,"Washington, DC"
Oregon_State_University,None,"Corvallis, OR"
Tufts_University,None,"Medford, MA"
University_of_Alabama,None,"Tuscaloosa, AL"
University_of_New_Mexico,None,"Albuquerque, NM"
University_of_Oklahoma,None,"Norman, OK"
University_of_Tennessee_Knoxville,None,"Knoxville, TN"
None,None,
Washington_State_University,None,"Pullman, WA"
Drexel_University,None,"Philadelphia, PA"
Kansas_State_University,None,"Manhattan, KS"
Ohio_University,None,"Athens, OH"
University_at_Buffalo_SUNY,None,"Buffalo, NY"
University_of_Georgia,None,"Athens, GA"
University_of_Kansas,None,"Lawrence, KS"
None,None,
University_of_Maryland_Baltimore_County,None,"Baltimore, MD"
University_of_Missouri,None,"Columbia, MO"
University_of_Wisconsin_Milwaukee,None,"Milwaukee, WI"
Lehigh_University,None,"Bethlehem, PA"
Temple_University,None,"Philadelphia, PA"
Tulane_University,None,"New Orleans, LA"
University_of_Alabama_Huntsville,None,"Huntsville, AL"
None,None,
University_of_Cincinnati,None,"Cincinnati, OH"
University_of_Houston,None,"Houston, TX"
University_of_Kentucky,None,"Lexington, KY"
University_of_New_Hampshire,None,"Durham, NH"
University_of_Texas_Dallas,None,"Richardson , TX"
West_Virginia_University,None,"Morgantown, WV"
Auburn_University,None,"Auburn, AL"
None,None,
Brigham_Young_University,None,"Provo, UT"
Clemson_University,None,"Clemson, SC"
George_Washington_University,None,"Washington, DC"
Georgia_State_University,None,"Atlanta, GA"
Montana_State_University,None,"Bozeman, MT"
University_at_Albany_SUNY,None,"Albany, NY"
Wake_Forest_University,None,"Winston-Salem, NC"
None,None,
Wayne_State_University,None,"Detroit, MI"
Illinois_Institute_of_Technology,None,"Chicago, IL"
Oklahoma_State_University,None,"Stillwater, OK"
University_of_South_Carolina,None,"Columbia, SC"
University_of_Texas_Arlington,None,"Arlington, TX"
Utah_State_University,None,"Logan, UT"
Baylor_University,None,"Waco, TX"
None,None,
Kent_State_University,None,"Kent, OH"
New_Jersey_Institute_of_Technology,None,"Newark, NJ"
New_Mexico_State_University,None,"Las Cruces, NM"
Stevens_Institute_of_Technology,None,"Hoboken, NJ"
University_of_Alabama_Birmingham,None,"Birmingham, AL"
University_of_Arkansas_Fayetteville,None,"Fayetteville, AR"
University_of_Colorado_Colorado_Springs,None,"Colorado Springs, CO"
None,None,
University_of_Massachusetts_Lowell,None,"Lowell, MA"
University_of_Miami,None,"Coral Gables, FL"
University_of_Mississippi,None,"University, MS"
University_of_North_Carolina_Charlotte,None,"Charlotte, NC"
University_of_South_Florida,None,"Tampa, FL"
Virginia_Commonwealth_University,None,"Richmond, VA"
Wesleyan_University,None,"Middletown, CT"
None,None,
George_Mason_University,None,"Fairfax, VA"
Michigan_Technological_University,None,"Houghton, MI"
Southern_Methodist_University,None,"Dallas, TX"
University_of_Idaho,None,"Moscow, ID"
University_of_Louisville,None,"Louisville, KY"
University_of_Nevada_Las_Vegas,None,"Las Vegas, NV"
University_of_Nevada_Reno,None,"Reno, NV"
None,None,
Clarkson_University,None,"Potsdam, NY"
Clark_University,None,"Worcester, MA"
Florida_Institute_of_Technology,None,"Melbourne, FL"
Florida_International_University,None,"Miami, FL"
Idaho_State_University,None,"Pocatello, ID"
Mississippi_State_University,None,"Mississippi State, MS"
Northern_Illinois_University,None,"DeKalb, IL"
None,None,
Portland_State_University,None,"Portland, OR"
Texas_Tech_University,None,"Lubbock, TX"
University_of_Arkansas_Little_Rock,None,"Little Rock, AR"
University_of_California_Merced,None,"Merced, CA"
University_of_Maine,None,"Orono, ME"
University_of_Rhode_Island,None,"Kingston, RI"
University_of_Texas_San_Antonio,None,"San Antonio, TX"
None,None,
University_of_Toledo,None,"Toledo, OH"
Worcester_Polytechnic_Institute,None,"Worcester, MA"
Air_Force_Institute_of_Technology,None,"Wright-Patterson AFB, OH"
Alabama_A&M_University,None,"Normal, AL"
East_Carolina_University,None,"Greenville, NC"
Florida_A&M_University,None,"Tallahassee, FL"
Florida_Atlantic_University,None,"Boca Raton, FL"
None,None,
Hampton_University,None,"Hampton, VA"
Howard_University,None,"Washington, DC"
Louisiana_Tech_University,None,"Ruston, LA"
Medical_College_of_Wisconsin,None,"Milwaukee, WI"
Missouri_University_of_Science_&_Technology,None,"Rolla, MO"
North_Dakota_State_University,None,"Fargo, ND"
Old_Dominion_University,None,"Norfolk, VA"
None,None,
Southern_Illinois_University_Carbondale,None,"Carbondale, IL"
Texas_Christian_University,None,"Fort Worth, TX"
The_Catholic_University_of_America,None,"Washington, DC"
University_of_Akron,None,"Akron, OH"
University_of_Alaska_Fairbanks,None,"Fairbanks, AK"
University_of_Dayton,None,"Dayton, OH"
University_of_Missouri_Kansas_City,None,"Kansas City, MO"
None,None,
University_of_North_Texas,None,"Denton, TX"
University_of_Puerto_Rico_Rio_Piedras,None,"San Juan, PR"
University_of_Southern_Mississippi,None,"Hattiesburg, MS"
Western_Michigan_University,None,"Kalamazoo, MI"
