University name,faculty count,personal images count,scrapped urls count,fail reason
Massachusetts_Institute_of_Technology,88,88,101,None
Stanford_University,45,45,132,None
Yale_University,36,36,68,None
Harvard_University,67,67,72,None
Duke_University,6,6,0,None
Brown_University,30,30,31,None
University_of_Pennsylvania,48,48,123,None
Rice_University,42,42,199,None
Northwestern_University,37,37,39,None
Vanderbilt_University,29,29,58,None
Washington_University_in_St._Louis,23,23,0,None
Dartmouth_College,65,65,99,None
California_Institute_of_Technology,46,46,374,None
University_of_Notre_Dame,55,55,62,None
University_of_Chicago,356,0,355,None
University_of_Southern_California,50,50,123,None
Cornell_University,45,45,0,None
University_of_Michigan_Ann_Arbor,54,54,0,None
University_of_California_Los_Angeles,79,79,83,None
Tufts_University,54,0,0,None
Carnegie_Mellon_University,47,47,78,None
University_of_Virginia,38,38,79,None
Emory_University,15,15,0,None
Georgia_Institute_of_Technology,35,35,38,None
University_of_California_Berkeley1,14,14,20,None
University_of_California_Berkeley2,8,8,7,None
University_of_California_Berkeley3,9,9,9,None
University_of_California_Berkeley4,22,22,27,None
University_of_California_Berkeley5,7,7,8,None
University_of_California_Berkeley6,19,19,20,None
University_of_California_Berkeley7,4,4,0,None
University_of_California_Berkeley8,12,12,0,None
Wake_Forest_University,9,9,0,None
Virginia_Tech,70,0,63,None
University_of_Florida,55,0,54,None
Boston_University,28,28,0,None
University_of_Wisconsin,48,48,187,None
University_of_Illinois_at_UrbanaChampaign,66,0,66,None
University_of_Georgia,56,56,73,None
University_of_Rochester,73,73,227,None
University_of_California_Santa_Barbara,21,21,6,None
University_of_Miami,22,22,23,None
Rensselaer_Polytechnic_Institute,26,26,29,None
Southern_Methodist_University,51,51,20,None
Brigham_Young_University,41,41,43,None
Case_Western_Reserve_University,55,0,27,None
Purdue_University,51,51,0,None
Tulane_University,36,0,32,None
University_of_Minnesota_Twin_Cities,59,59,77,None
University_of_Washington,73,0,73,None
Penn_State,7,7,0,None
The_Ohio_State_University,217,217,475,None
Texas_A&M_University,9,9,0,None
North_Carolina_State_University,50,50,0,None
Clemson_University,35,0,54,None
Stevens_Institute_of_Technology,25,25,6,None
University_of_Pittsburgh,78,78,85,None
University_of_Maryland_College_Park,228,228,235,None
Brandeis_University,21,21,31,None
Michigan_State_University,21,0,20,None
Florida_State_University,45,45,165,None
University_of_California_San_Diego,80,80,85,None
University_of_California_Davis,54,54,0,None
George_Washington_University,22,22,42,None
University_of_California_Irvine,80,80,83,None
University_of_Tulsa,7,7,0,None
Indiana_University_Bloomington,32,32,35,None
Texas_Christian_University,4,4,0,None
University_of_Delaware,156,156,48,None
Michigan_Technological_University,24,24,66,None
University_of_Massachusetts_Amherst,24,24,0,None
Syracuse_University,38,38,44,None
California_Polytechnic_State_University_San_Luis_Obispo,45,0,44,None
University_of_South_Florida,34,34,24,None
Rutgers_University_New_Brunswick,84,0,84,None
University_of_Iowa,23,0,23,None
Auburn_University,25,25,0,None
University_of_Utah,89,0,51,None
Baylor_University,21,21,13,None
University_of_Oklahoma,17,17,0,None
Arizona_State_University,56,56,199,None
The_University_of_Alabama,30,30,50,None
Washington_State_University,30,30,0,None
University_of_Cincinnati,2,2,0,None
University_of_South_Carolina,2,2,0,None
University_of_Colorado_Boulder,81,81,0,None
University_of_Arizona,30,30,32,None
University_of_Connecticut,23,0,95,None
University_of_Arkansas,22,22,28,None
University_of_Denver,2,2,0,None
Miami_University,15,15,16,None
University_of_Missouri,25,25,49,None
University_of_Kansas,27,27,133,None
Kansas_State_University,18,0,64,None
University_of_Nebraska_Lincoln,37,37,0,None
University_of_Central_Florida,87,87,101,None
Mississippi_State_University,20,20,0,None
Missouri_University_of_Science_&_Technology,40,0,18,None
University_of_Oregon,37,37,77,None
University_at_Buffalo_SUNY,6,6,34,None
University_of_Texas_Dallas,32,32,72,None
Binghamton_University_SUNY,32,32,15,None
Texas_Tech_University,20,20,23,None
California_State_University_Long_Beach,33,0,0,None
University_of_Houston,32,32,43,None
University_of_Houston,32,32,43,None
Temple_University,43,43,63,None
University_of_Mississippi,31,31,0,None
Drexel_University,22,22,0,None
San_Diego_State_University,22,22,131,None
University_of_Alabama_Birmingham,16,16,0,None
Clarkson_University,16,16,0,None
DePaul_University,12,12,12,None
The_University_of_Alabama_in_Huntsville,16,16,9,None
University_of_Tennessee,54,54,44,None
University_of_California_Santa_Cruz,32,32,86,None
Oregon_State_University,25,25,21,None
Stony_Brook_University_SUNY,107,107,113,None
Florida_Institute_of_Technology,48,0,35,None
Ohio_University,30,30,0,None
Appalachian_State_University,24,24,36,None
University_of_Kentucky,16,16,0,None
West_Virginia_University,35,35,0,None
Louisiana_State_University,66,66,66,None
University_of_New_Hampshire,27,27,28,None
George_Mason_University,40,40,17,None
University_of_Maryland_Baltimore_County,40,40,0,None
University_of_Louisville1,17,0,21,None
University_of_Louisville2,17,0,21,None
University_of_Louisville3,17,0,21,None
University_of_Louisville4,17,0,21,None
University_of_Louisville5,17,0,21,None
University_of_Idaho,9,9,68,None
University_of_California_Riverside,11,0,11,None
University_of_Missouri_Kansas_City,39,0,80,None
Louisiana_Tech_University,55,0,145,None
Howard_University,18,0,18,None
Catholic_University_of_America,14,14,14,None
University_of_Massachusetts_Lowell,30,30,0,None
New_Jersey_Institute_of_Technology,30,0,47,None
North_Dakota_State_University,13,13,9,None
University_of_Illinois_at_Chicago,37,37,39,None
California_State_University_Fullerton,14,14,18,None
Wayne_State_University,38,0,38,None
University_of_North_Texas,25,25,26,None
Texas_State_University,32,0,15,None
University_of_North_Dakota,7,7,7,None
Virginia_Commonwealth_University,22,22,23,None
University_of_Nevada_Reno,1,1,0,None
University_at_Albany_SUNY,20,20,29,None
Towson_University,28,0,28,None
Utah_State_University,17,17,0,None
Ball_State_University,17,17,0,None
Montana_State_University,29,29,31,None
Western_Michigan_University,24,24,106,None
Christopher_Newport_University,28,28,0,None
University_of_Texas_Arlington,32,32,0,None
University_of_North_Carolina_at_Charlotte,32,32,108,None
University_of_Louisiana_Lafayette,15,15,0,None
Pittsburg_State_University,20,20,154,None
Indiana_UniversityPurdue_University_Indianapolis_(IUPUI),12,12,35,None
East_Carolina_University,19,19,0,None
University_of_Minnesota_Duluth,19,19,30,None
CUNY_Brooklyn_College,19,19,4,None
University_of_Southern_Mississippi,13,13,0,None
CUNY_Queens_College,26,26,12,None
University_of_Wisconsin_Milwaukee,19,0,165,None
New_Mexico_State_University,18,18,1,None
Georgia_State_University,46,46,271,None
University_of_Hawaii_at_Manoa,16,16,4,None
Florida_Atlantic_University,32,0,16,None
Central_Michigan_University,23,0,0,None
University_of_Memphis,16,16,23,None
Northern_Arizona_University,20,20,16,None
University_of_Maine,30,0,171,None
CUNY_City_College_of_New_York,28,28,131,None
CUNY_Hunter_College,19,0,27,None
University_of_Rhode_Island,21,21,39,None
University_of_South_Dakota,21,21,46,None
Lewis_University,1,1,0,None
University_of_Massachusetts_Boston,19,0,76,None
University_of_Missouri_St._Louis,36,0,96,None
University_of_New_Mexico,90,90,16366,None
Kent_State_University,30,0,152,None
Western_Illinois_University,10,10,0,None
Portland_State_University,19,19,0,None
California_State_University_Fresno,25,25,85,None
North_Carolina_A&T_State_University,39,0,110,None
University_of_California_Merced,40,40,55,None
University_of_Texas_San_Antonio,26,26,62,None
Minnesota_State_University_Mankato,27,27,157,None
The_University_of_Texas_Rio_Grande_Valley,48,0,0,None
University_of_Nevada_Las_Vegas,36,36,0,None
Cleveland_State_University,14,0,14,None
Old_Dominion_University,15,0,21,None
University_of_Toledo,18,18,0,None
Oakland_University,26,0,6,None
University_of_New_Orleans,5,5,114,None
University_of_Wisconsin_Oshkosh,17,0,17,None
California_State_University_Los_Angeles,17,0,17,None
Stephen_F_Austin_State_University,13,13,63,None
San_Jose_State_University,20,20,19,None
Eastern_Michigan_University,8,8,0,None
University_of_Texas_El_Paso,20,20,18,None
San_Francisco_State_University,56,56,2,None
Southern_Illinois_University_Carbondale,6,6,0,None
Northern_Illinois_University,6,6,0,None
University_of_Akron,5,5,0,None
Indiana_University_of_Pennsylvania,15,15,19,None
University_of_Massachusetts_Dartmouth,39,0,120,None
Idaho_State_University,5,5,0,None
Southern_Connecticut_State_University,5,5,0,None
SUNY_Buffalo_State_College,5,5,0,None
Southern_University_&_A&M_College,56,0,7,None
Alabama_A&M_University,17,0,17,None
Columbia_University,25,25,0,None
CUNY_Graduate_School_&_University_Center,60,0,56,None
Florida_International_University,20,0,20,None
University_of_Houston_Clear_Lake,32,32,83,None
Iowa_State_University,212,212,240,None
Naval_Postgraduate_School,25,0,5,None
Oklahoma_State_University,18,18,20,None
Worcester_Polytechnic_Institute,39,39,75,None
University_of_Puerto_Rico_Mayaguez,59,0,1,None
North_Carolina_Central_University,7,7,115,None
Wright_State_University,13,13,0,None
Hampton_University,11,11,10,None
Fisk_University,24,0,18,None
Florida_A&M_University,17,17,5,None
CUNY_Graduate_School_&_University_Center1,60,0,56,None
CUNY_Graduate_School_&_University_Center2,42,0,38,None
Boston_College,12,12,10,None
Clark_University,5,5,5,None
Colorado_School_of_Mines,43,43,72,None
Georgetown_University,18,0,18,None
Johns_Hopkins_University,10,10,0,None
Lehigh_University,23,23,75,None
New_York_University,64,64,176,None
Ohio_State_University,56,56,72,None
Pennsylvania_State_University_University_Park,69,69,231,None
Princeton_University,69,69,72,None
Rochester_Institute_of_Technology,73,73,227,None
Texas_A&M_University_College_Station,78,78,0,None
University_of_Colorado_Colorado_Springs,14,14,12,None
University_of_Dayton1,8,8,0,None
University_of_Dayton2,6,6,0,None
University_of_Dayton3,1,1,0,None
University_of_Illinois_Urbana_Champaign,66,0,66,None
University_of_North_Carolina_Chapel_Hill,39,39,0,None
University_of_Texas_Austin,44,44,3,None
University_of_Wisconsin_Madison,48,48,188,None
Wesleyan_University,2,2,0,None
William_&_Mary,27,27,462,None
Bowling_Green_State_University,0,0,0,Couldn't read HTML source even with the web driver
Virginia_State_University,8,0,0,None
University_of_Alaska_Fairbanks,0,0,0,Couldn't read HTML source even with the web driver
Delaware_State_University,0,0,0,Couldn't read HTML source even with the web driver
Norfolk_State_University,8,0,0,None
Clark_Atlanta_University,8,0,0,None
